"menuaccessid","menucode","menuname","description","menuurl","recordstatus"
213,"hrprmin","hrpermitin","HR Permit In","/hrpermitin",1
214,"hrempover","hremployeeover","HR Employee Over","/hremployeeover",1
215,"hrfacility","hrfacility","HR Facility","/hrfacility",1
216,"hrpayroll","hrpayroll","HR Payroll","/hrpayroll",1
217,"matmast","materialmaster","Material Master","/matmaster",1
218,"purchasing","purchasing","Purchasing","/purchasing",1
219,"po","purchaseorder","Purchase Order","/purchaseorder",1
220,"inv","inventory","Inventory","/inventory",1
221,"pr","purchaserequest","Purchase Request","/purchaserequest",1
222,"gr","goodsreceived","Goods Received","",1
223,"gi","goodsissue","Goods Issue","",1
224,"begstock","beginningstock","Beginning Stock","",1
225,"trsstock","transferstock","Transfer Stock","/transferstock",1
226,"hrmp1","hrmp1","Master Personnel Part 1","/hrmp1",1
227,"hrmp2","hrmp2","Master Personnel Part 2","/hrmp2",1
228,"hremployee","hremployee","HR Employee","/hremployee",1
229,"idarep","reportda","Report Form Request","/reportda",1
230,"hrpeo","repempover","Report Employee Overtime","/repempover",1
231,"hrempwo","employeewo","Employee Working Experience","/employeewo",1
232,"hrrepsick","reportsicktrans","Report Sickness Transaction","/reportsicktrans",1
233,"pprm","purparam","Purchasing Parameter","/purparam",1
234,"pprt","purtrans","Purchasing Transaction","/purtrans",1
235,"invprm","invparam","Inventory Parameter","/invparam",1
236,"invtrans","invtrans","Inventory Transaction","/invtrans",1
237,"stl","translog","Transaction Log","/translog",1
238,"hrrptpwr","reportkekuatan","Report Kekuatan Pegawai","/reportkekuatan",1
239,"hrrptjms","reportjamsostek","Report Jamsostek","/reportjamsostek",1
240,"hrrpdplk","reportdplk","Report DPLK","/reportdplk",1
241,"pmms","materialstatus","Material Status","/materialstatus",1
242,"mmow","ownership","Ownership","/ownership",1
243,"orm","ordermanagement","Order Management","/orm",1
244,"omparam","omparam","Order Management Parameter","/orm",1
245,"omtrans","omtrans","Order Management Transaction","/orm",1
246,"omsrf","srf","Service Request Form","/srf",1
247,"oct","contractterm","Contract Term","/contractterm",1
248,"orf","requestfor","Request For","/requestfor",1
249,"oam","accessmethod","Access Method","/accessmethod",1
250,"ost","servicetype","Service Type","/servicetype",1
251,"orsrf","repproject","Report SRF","/repproject",1
252,"ssd","servicedelivery","Service Delivery","/servicedelivery",1
253,"ssprice","srfprice","Service Delivery Price Tab","",1
254,"baol","baol","Berita Acara Online","/baol",1
255,"repbaol","repbaol","Report BAOL","/repbaol",1
256,"repsd","repservicedelivery","Report Service Delivery","/repservicedelivery",1
257,"operation","operation","Operation","operation",1
258,"oprtrans","oprtrans","Operation Transaction","oprtrans",1
259,"oprtt","troubleticket","Trouble Ticket","/troubleticket",1
260,"repoprtt","reptroubleticket","Report Trouble Ticket","/reptroubleticket",1
261,"sdrso","reportso","Report Sales Order","/reportso/index",1
262,"ap","ap","Account Payable","ap/index",1
263,"arap","repinvap","Report Account Payable","repinvap/index",1
264,"ainvap","invoiceap","Invoice Supplier","invoiceap/index",1
