"cityid","provinceid","cityname","recordstatus"
351,27,"BOLAANG MENGONDOW",1
352,27,"MANADO",1
353,27,"MINAHASA",1
354,27,"SANGIHE",1
355,27,"TALAUD",1
356,28,"AGAM",1
357,28,"BUKITTINGGI",1
358,28,"KAB.KEP. MENTAWAI",1
359,28,"KAB.SOLOK",1
360,28,"LIMAPULUH KOTA",1
361,28,"PADANG",1
362,28,"PADANG PANJANG",1
363,28,"PADANG PARIAMAN",1
364,28,"PASAMAN",1
365,28,"PASAMAN BARAT",1
366,28,"PAYAKUMBUH",1
367,28,"PESISIR SELATAN",1
368,28,"SAWAH LUNTO",1
369,28,"SOLOK",1
370,28,"SWL/SIJUNJUNG",1
371,28,"TANAH DATAR",1
372,29,"BANYUASIN",1
373,29,"LAHAT",1
374,29,"LUBUK LINGGAU",1
375,29,"MUARA ENIM",1
376,29,"MUSI BANYU ASIN",1
377,29,"MUSI RAWAS",1
378,29,"OGAN KOMERING ILIR",1
379,29,"OGAN KOMERING ULU",1
380,29,"OGAN KOMERING ULU SELATAN",1
381,29,"OGAN KOMERING ULU TIMUR",1
382,29,"PAGAR ALAM",1
383,29,"PALEMBANG",1
384,29,"PRABUMULIH",1
385,30,"ASAHAN",1
386,30,"BINJAI",1
387,30,"DAIRI",1
388,30,"DELI SERDANG",1
389,30,"HUMBANG HASUNDUTAN",1
390,30,"KARO",1
391,30,"KOTAMADYA MEDAN",1
392,30,"LABUHAN BATU",1
393,30,"LANGKAT",1
394,30,"MANDAILING NATAL",1
395,30,"NIAS",1
396,30,"NIAS SELATAN",1
397,30,"PADANGSIDIMPUAN",1
398,30,"PEMATANG SIANTAR",1
399,30,"SIBOLGA",1
400,30,"SIMALUNGUN",1
401,30,"TANJUNG BALAI",1
402,30,"TAPANULI SELATAN",1
403,30,"TAPANULI TENGAH",1
404,30,"TAPANULI UTARA",1
405,30,"TEBING TINGGI",1
406,30,"TOBA SAMOSIR",1
408,8,"SOLO",1
409,5,"JAKARTA",1
410,8,"PURWODADI",1
411,28,"PANTI",1
412,29,"INDERAPURA",1
413,28,"SUMBER AGUNG",1
414,28,"NEGERI LAMA",1
415,24,"Ujung Pandang",1
416,24,"Makasar",1
417,14,"Sungai LIat",1
418,24,"Ujungpandang",1
419,13,"Sangatta",1
